COUNTRY,DATE_IMPLEMENTED,CATEGORY,MEASURE,COMMENTS
Indonesia,2020-03-08,Movement restrictions,Additional health/documents requirements upon arrival,"for all visitors/travelers from outside the aforementioned areas in Iran, Italy, and South Korea, a health certificate issued by the official Health Authorities from each respective country will be required. The Health Certificate must still be valid and shown to the airlines authorities upon check-ins."
Indonesia,2020-03-08,Movement restrictions,Additional health/documents requirements upon arrival,visitors/travelers arriving from the three said countries are required to complete a Health Alert Card (Kartu Kewaspadaan Kesehatan) issued by the Ministry of Health of the Republic of Indonesia.
Indonesia,2020-03-08,Public health measures,Health screenings in airports and border crossings,"for Indonesian nationals who have recently traveled to one of the abovementioned countries, especially in the said regions, an additional health examination is required upon arrival at the airport."
Indonesia,2020-03-16,Public health measures,General recommendations,"�The Government of Indonesia has issued a Health Protocol, as the Corona virus or Covid-19 spreads to hundreds of countries. The protocol will be implemented by the Government throughout the nation with centralized guidance by the Ministry of Health. The protocol was developed in consultation with all Ministries and Government agencies."
Indonesia,2020-03-16,Public health measures,Testing policy,specimen will be taken from patient under the criteria for the COVID-19 patient under observation for laboratory test and the patient will be treated in an isolation room. The Specimen will be sent to the National Institute for Health Research and Development (Balitbangkes). The first test result will be completed within 24 hours after the specimen is received.
Indonesia,2020-03-16,Movement restrictions,Surveillance and monitoring,"For those who test positive, Samples will be taken every day."
Indonesia,2020-03-16,Movement restrictions,Surveillance and monitoring,"Should you have a history of travel to any country with local transmission of COVID-19 within a period of 14 days prior, perform self-monitoring through two times body temperature check."
Indonesia,2020-03-20,Public health measures,General recommendations,"the Government advises all Indonesian citizens to restrict non-essential outbound travels. For Indonesian citizens currently travelling abroad, it is advised to return to Indonesia at the earliest possible time to avoid further travel disruptions."
Indonesia,2020-03-20,Movement restrictions,Surveillance and monitoring,All Indonesian citizens are requested to monitor closely information available through the Safe Travel Application or contact the hotline of the nearest Indonesian Mission.
Indonesia,2020-03-20,Movement restrictions,Visa restrictions,"The Indonesian government has suspended its visa exemption policy for short-stay visit, visa-on-arrival and diplomatic/service visa-free facilities for all countries, for a  period of 1 month. All foreigners/travelers who wish to visit Indonesia must obtain a visa from Indonesian missions in accordance with the purpose of their visit."
Indonesia,2020-03-20,Movement restrictions,Additional health/documents requirements upon arrival,"Upon submission of visa application, applicants must provide health certificate issued by relevant health authorities from their respective countries."
Indonesia,2020-03-20,Movement restrictions,Visa restrictions,"deny entry or transit to Indonesia for visitors/travelers who have travelled to Iran, Italy, Vatican City, Holy See, Spain, France, Germany, Switzerland, or the UK in the last 14 days"
Indonesia,2020-03-20,Public health measures,Isolation and quarantine policies,"If the additional screening shows initial symptoms of Covid-19, a 14-day observation in a government facility will be applied"
Indonesia,2020-03-20,Public health measures,General recommendations,"If no initial symptom is found, a 14-day self-quarantine will be strongly recommended."
Indonesia,2020-03-20,Movement restrictions,Visa restrictions,"The extension of Stay Permit for foreign travelers who are currently in Indonesia and have expired, shall be conducted in accordance with the Regulation of the Ministry of Justice and Human Rights No. 7 of 2020. The extension of Residence Permit for holders of Temporary Stay Permit Card (KITAS)/ Permanent Stay Permit Card (KITAP) and holders of Diplomatic Visa and Service Visa who are currently overseas and will expire, shall be conducted in accordance with the Regulation of the Ministry of Justice and Human Rights no.7 of 2020."
Indonesia,2020-03-30,Public health measures,Strengthening the public health system,List of coronavirus referral hospitals in Indonesia
Indonesia,2020-03-31,Lockdown,Partial lockdown,"Large scale social disancing, including restricting of religious practices and activities in public areas. Criminal sanctions may apply for violations of the restrictions."
Indonesia,2020-03-31,Movement restrictions,Border closure,Limiting the movement of people and goods. Criminal sanctions may apply for violations of the restrictions.
Indonesia,2020-04-23,Public health measures,General recommendations,Recommendations for safely celebrating Ramadan
Indonesia,2020-04-23,Movement restrictions,Domestic travel restrictions,"suspension of domestic air travel (charter and commercial) in and out of regions covered by Large-Scale Social Movement Restrictions (PSBB) and COVID-19 red zones. Significant restrictions on domestic road, rail, and sea transport.  International flights, however, are still authorized to operate under this policy."
Indonesia,2020-04-27,Social distancing,Limit public gatherings,ban on going home to Ramadan and Eid 2020
Indonesia,2020-04-28,Public health measures,Strengthening the public health system,Kemensosri App has a social assistance complaint service handling COViD-19
Indonesia,2020-04-30,Movement restrictions,International flights suspension,Passengers are not allowed to transit or enter Indonesia
Indonesia,2020-05-01,Lockdown,Partial lockdown,Large-scale social restrictions (PSBB) in Jakarta have been extended until 22 May with possible further extensions if necessary.  Criminal sanctions may apply for violations of the restrictions.
Indonesia,2020-05-01,Social distancing,Limit public gatherings,The government are also restricting public gatherings and crowds to limit the possibility of COVID-19 transmission. Criminal sanctions may apply for violations of the restrictions.
Indonesia,2020-05-01,Public health measures,Strengthening the public health system,"In March, WHO procured 2 340 personal protective equipment (PPE), upon request from the Directorate of Prevention and Communicable Diseases, MoH, and distributed them to four provinces: Jakarta, West Java, Bali and Riau Island"
Indonesia,2020-05-04,Public health measures,Awareness campaigns,Launching of Smart Access Machine for the Nation by the Minister of Communication and Information
Indonesia,2020-05-04,Movement restrictions,Domestic travel restrictions,"As of May 4, a change in the policy allows a limited number of domestic flights to operate. The updated policy allows foreign nationals to board domestic flights solely for the purpose of transiting to an outbound international flight connection out of Jakarta."
Indonesia,2020-05-04,Movement restrictions,Additional health/documents requirements upon arrival,Those seeking to board domestic transit flights must produce a Health Certificate issued within the last seven days stating they are COVID-19 free and a travel endorsement letter
Indonesia,2020-05-06,Governance and socio-economic measures,Economic measures,APEC economies agree to keep markets open and trade flowing
Indonesia,2020-05-07,Movement restrictions,Domestic travel restrictions,"Beginning May 7, the Government of Indonesia has allowed the resumption of domestic flights, subject to certain restrictions.?"
Indonesia,2020-05-22,Public health measures,General recommendations,General recommendations during Eid
Indonesia,2020-05-25,Movement restrictions,Domestic travel restrictions,"resumption of domestic flights, subject to certain restrictions"
Indonesia,2020-05-25,Movement restrictions,Additional health/documents requirements upon arrival,Those seeking to board domestic transit flights must produce a Health Certificate issued within the last seven days stating they are COVID-19 free and a travel endorsement letter
Indonesia,2020-05-25,Movement restrictions,Domestic travel restrictions,Tightening access in and out of the Capital City (Jakarta)
Indonesia,2020-05-27,Public health measures,Strengthening the public health system,The number of referral hospitals for COVID-19 was increased to 777 (an addition of 22 hospitals since 06 May) with 23 742 isolation beds and 8 180 intensive care unit (ICU) beds (7 857 with ventilators).
Indonesia,2020-05-28,Public health measures,Awareness campaigns,Campaign to eat nutritious during the pandemic
Indonesia,2020-06-01,Public health measures,Other public health measures enforced,Around 102 regencies and municipalities were labeled as green zones by the government as they had not been impacted by the COVID-19 outbreak.
Indonesia,2020-07-06,Movement restrictions,Domestic travel restrictions,"Domestic flights are operating subject to certain restrictions.  Those seeking to board domestic flights must produce a test result indicating they are COVID-19 free, based either on a PCR test conducted within seven days or a “rapid” test conducted within three days."
Indonesia,2020-07-13,Movement restrictions,Visa restrictions,Indonesian Immigration has announced that foreign nationals who arrived on the �visa-free� or �visa-on-arrival� mechanisms whose visas have expired with need to take specified steps within 30 days from July 13
Indonesia,2020-07-13,Movement restrictions,Visa restrictions,"Indonesian Immigration has announced that foreign nationals who arrived on the “visa-free” or “visa-on-arrival” mechanisms whose visas have expired with need to take the following steps within 30 days from July 13: 

- Those who arrived on “visa-free” (BVK) must leave Indonesia within 30 days, or may face fines, detention, and deportation.
- Those who arrived on “visa-on-arrival” (VKSK) may, within 30 days from July 13, apply for an extension, but per this policy will only receive an extension while the pandemic status continues and there are no flights available for you to return to the United States"
Indonesia,2020-07-20,Public health measures,Strengthening the public health system,The Committee for the COVID-19 Response and National Economic Recovery through the Presidential Regulation No. 82 of 2020 was created by the president.
Indonesia,2020-07-20,Governance and socio-economic measures,Economic measures,"The Government of Indonesia has announced a fund allocation of IDR. 695.2 trillion to mitigate the impact of the COVID19 pandemic, which includes IDR. 203.9 trillion for social assistance."
Indonesia,2020-07-20,Governance and socio-economic measures,Economic measures,The Coordinating Ministry for Economic Affairs plans to re-start its pre-employment training program by opening a fourth batch of trainings by the end of July.
Indonesia,2020-07-20,Social distancing,Limit public gatherings,DKI Jakarta has extended the Large-Scale Social Restrictions measures until 30 July. The extension is also being followed by Jakarta’s neighboring cities and districts of West Java.
Indonesia,2020-07-21,Movement restrictions,Domestic travel restrictions,Large-Scale Social Movement Restrictions (PSBB) and other measures to mitigate the spread of COVID-19 remain in many areas of the country. This has been consistent in updates since
Indonesia,2020-07-27,Movement restrictions,Visa restrictions,"Indonesian Immigration has announced new guidance for foreign nationals who arrived on the “visa-free” or “visa-on-arrival” mechanisms and whose visas have expired.  In most cases, foreigners who arrived on these mechanisms will be required to depart the country by August 11."
Indonesia,2020-08-13,Public health measures,Requirement to wear protective gear in public,The Indonesian government has instituted “new normal” policies including mandatory compliance of mask use and social distancing.
Indonesia,2020-08-13,Movement restrictions,Visa restrictions,The Indonesian government has restricted foreign visitors from transiting and traveling to Indonesian Territory unless they are in possession of an existing valid visa or residence permit.
Indonesia,2020-08-13,Movement restrictions,Additional health/documents requirements upon arrival,Health screening procedures are in place at airports and other ports of entry
Indonesia,2020-08-13,Movement restrictions,Additional health/documents requirements upon arrival,A negative COVID-19 test (PCR and/or serology) required for entry
Indonesia,2020-08-13,Movement restrictions,Additional health/documents requirements upon arrival,"All foreign visitors arriving in Indonesia are required to:

- Hold a health certificate issued by health authorities from their home countries
- Undertake a mandatory 14-day quarantine at designated facilities conducted by the Indonesian government or self-quarantine under supervision of the Indonesian health authority
- If you cannot obtain a COVID test prior to traveling to Indonesia, the government will test you upon arrival at the airport. You must agree to be quarantined if you test positive."
Indonesia,2020-08-13,Public health measures,Other public health measures enforced,The PCR swab tests and rapid tests for COVID-19 are available at various hospitals and clinics throughout Indonesia. Prices vary depending on location but generally the PCR swab tests range from 1.500.000 to 2.750.00 IDR ($100 -$180) while the rapid test ranges from 500.000 IDR – 1.000.000 ($30 – $70). The accuracy and reliability of the available testing in Indonesia is inconsistent and rapid tests are not considered reliable.
Indonesia,2020-08-13,Public health measures,Other public health measures enforced,Individuals who do not comply with existing social distancing policies are subject to fines and other penalties.
Indonesia,2020-09-14,Social distancing,Schools closure,"Closure of all schools and educational institutions, parks and recreational facilities, public sports facilities and gathering halls"
Indonesia,2020-09-14,Social distancing,Limit public gatherings,The Government of Jakarta has decided to stringent large scale social restrictions starting 14 September.
Indonesia,2020-09-14,Movement restrictions,Domestic travel restrictions,Public transport will be limited to 50% capacity while online motorcycle-taxis are allowed to carry passengers with strict health protocols.
Indonesia,2020-09-14,Movement restrictions,Domestic travel restrictions,Private vehicles can carry a maximum of two passengers per seat row unless for those with the same home address.
Indonesia,2020-09-14,Public health measures,Strengthening the public health system,"The Government has established collaboration with 15 two- and three-star hotels, which will increase the isolation capacity by 3,000 rooms. In addition, Towers 4 and 5 of Wisma Atlet have recently opened with an additional capacity of 2,500 rooms."
Indonesia,2020-09-15,Public health measures,Other public health measures enforced,"Indonesia will hold regional elections in 2020 simultaneously for 270 provinces, districts and municipalities, with the voting day on 9 December 2020. The Minister of Home Affairs has sent official letters of warning to 54 regional heads of the government who are suspected to violate the COVID-19 protocol in convening the election process, including crowd gatherings."
Pakistan,2020-02-12,Governance and socio-economic measures,Emergency administrative structures activated or established,"NIH released the National Action Plan for Preparedness & Response to Corona Virus Disease (Covid-19), which outlines emergency administrative structures. It includes what has already been done and what they plan to do, as of 12 February 2020."
Pakistan,2020-02-20,Movement restrictions,Additional health/documents requirements upon arrival,All passengers arriving from China are being followed up by dedicated teams of doctors of NIH.
Pakistan,2020-02-24,Public health measures,General recommendations,NA
Pakistan,2020-02-24,Movement restrictions,Additional health/documents requirements upon arrival,Arriving passengers must complete health declaration forms
Pakistan,2020-02-28,Movement restrictions,Border closure,Closed borders with Iran
Pakistan,2020-02-28,Movement restrictions,International flights suspension,Flights with Japan and China are suspended
Pakistan,2020-03-06,Public health measures,Health screenings in airports and border crossings,All Points of Entry into the country are being manned by health personnel who are busy screening incoming travelers round the clock.
Pakistan,2020-03-13,Social distancing,Schools closure,All schools closed until 5 of April
Pakistan,2020-03-13,Social distancing,Schools closure,Pakistan shut all its schools
Pakistan,2020-03-17,Public health measures,Awareness campaigns,Daily radio talks featuring members of the government to talk about coronavirus
Pakistan,2020-03-18,Public health measures,Health screenings in airports and border crossings,COVID-19 test mandatory for int�l passengers
Pakistan,2020-03-19,Public health measures,Awareness campaigns,"�Prevention is better than a cure�. PM Imran Khan invoked that cleanliness is part of their religious responsibility as well, and that people should take is seriously."
Pakistan,2020-03-19,Governance and socio-economic measures,Economic measures,Economic intervention to safeguard national economy from adverse impacts of corona pandemic. This includes actively coordinating for necessary emergency funds to ward off negative impacts on industry.
Pakistan,2020-03-19,Movement restrictions,Surveillance and monitoring,A Mobile Application (Corona App) will be developed to deal with Coronavirus with the help of technology. The Application will be developed by National Information Technology Board (NITB). The Application will have location based services to detect coronavirus patient through radius alert� Strict action will be taken through district administration once complaint received through the App. The App will also be used to report social gathering.
Pakistan,2020-03-19,Public health measures,Awareness campaigns,"A Mobile Application (Corona App) will be developed to deal with Coronavirus with the help of technology. The Application will be developed by National Information Technology Board (NITB)� Moreover, public awareness videos, chatbot for public and activity alarm for giving reminder for washing hands, using sanitizer etc. will be made available in application"
Pakistan,2020-03-20,Movement restrictions,International flights suspension,"Suspending operation of all international passenger, chartered and private flights to Pakistan, effective from 21st March 2020 (2000 hrs PST) to 4th April 2020 (2000 hrs PST)."
Pakistan,2020-03-20,Movement restrictions,Border closure,open the Chaman-Spinboldak border & let trucks crossover into Afghanistan to to permit the entry of trucks carrying food and essential goods under the Afghan Transit Trade
Pakistan,2020-03-21,Movement restrictions,International flights suspension,suspended all international flights until April 4
Pakistan,2020-03-24,Governance and socio-economic measures,Limit product imports/exports,Limit product import/export: medical items
Pakistan,2020-03-25,Public health measures,Strengthening the public health system,Establishing quarantine facilities
Pakistan,2020-03-25,Public health measures,Testing policy,COVID-Priority testing
Pakistan,2020-03-26,Public health measures,Isolation and quarantine policies,Home quarantine/isolation
Pakistan,2020-03-26,Social distancing,Limit public gatherings,Social distancing
Pakistan,2020-03-27,Public health measures,Strengthening the public health system,Zoning of hospitals
Pakistan,2020-03-28,Public health measures,Other public health measures enforced,Cleaning & disinfecting environmental surfaces in healthcare facilities
Pakistan,2020-03-29,Movement restrictions,Border closure,borders would remain closed for another two weeks
Pakistan,2020-03-31,Social distancing,Closure of businesses and public services,Management of stores
Pakistan,2020-03-31,Public health measures,Other public health measures enforced,Preventive measures for industries and workers
Pakistan,2020-03-31,Public health measures,Other public health measures enforced,Health and safety of building and construction workers
Pakistan,2020-04-04,Movement restrictions,International flights suspension,extended the suspension of domestic and international flight operations in the country until April 21
Pakistan,2020-04-09,Governance and socio-economic measures,Economic measures,Ehsaas Emergency Cash program
Pakistan,2020-04-10,Public health measures,General recommendations,guidelines for old age persons to protect themselves & advice on how to assist them through this difficult time
Pakistan,2020-04-23,Public health measures,Strengthening the public health system,"US$ 595 MILLION PREPAREDNESS AND RESPONSE PLAN TO COMBAT COVID-19. emergency prevention, preparedness, response and relief and build health systems for a period of 9 months from April to December 2020."
Pakistan,2020-04-25,Social distancing,Limit public gatherings,Avoid congregations during Ramadan
Pakistan,2020-04-28,Governance and socio-economic measures,Economic measures,�Green Stimulus� package as part of Government�s efforts to extend green cover in the county and to create job opportunities for the youth of the country especially in the wake of COVID-19 crisis.
Pakistan,2020-04-30,Public health measures,Awareness campaigns,COVID19 Information and prevention guidelines in sign language for people with hearing impairment.
Pakistan,2020-05-02,Governance and socio-economic measures,Economic measures,A massive 1.2 trillion-rupee relief package announced by the Federal government will be distributed among all provinces without any discrimination
Pakistan,2020-05-02,Governance and socio-economic measures,Economic measures,web portal for financial support of unemployed due to Covid-19
Pakistan,2020-05-06,Public health measures,Requirement to wear protective gear in public,Guidelines for Wearing a Face Mask
Pakistan,2020-05-09,Public health measures,Awareness campaigns,"Pakistan�s first Urban Slum COVID-19 Response Programme. Public awareness and advocacy, access to preventive measures and WASH facilities, and rapid assessment of key challenges and issues of urban slums are among the key components of the initiative."
Pakistan,2020-05-09,Governance and socio-economic measures,Economic measures,Pakistan�s first Urban Slum COVID-19 Response Programme. Provision of income generation opportunities and capacity building are among the key components of the initiative.
Pakistan,2020-05-09,Public health measures,General recommendations,Official guidelines for various scenarios
Pakistan,2020-05-10,Public health measures,Other public health measures enforced,comprehensive disinfection policy to ensure sanitization of places at rational basis
Pakistan,2020-05-10,Public health measures,Isolation and quarantine policies,post-quarantine policy outlined
Pakistan,2020-05-11,Public health measures,Isolation and quarantine policies,"QUARANTINE PERIOD BEFORE TESTING FOR INBOUND AIR PASSENGERS REDUCED FROM 48 HOURS TO EARLIEST POSSIBLE. WEEKLY CAP FOR INBOUND PASSENGERS RAISED FROM 7,000-8,000 TO 11,000-12,000 NEW POLICY TO BRING BACK STRANDED PAKISTANIS"
Pakistan,2020-05-12,Public health measures,Awareness campaigns,WE CARE CAMPAIGN TO BE LAUNCHED FOR THE PROTECTION OF HEALTHCARE WORKERS
Pakistan,2020-05-12,Public health measures,General recommendations,National Guidelines for COVID-19 andPPEs + Guidelines for Holding National Assembly and senate of Pakistan Sessions in Wake of COVID-19 Outbreak
Pakistan,2020-05-15,Public health measures,Requirement to wear protective gear in public,WEARING MASKS MADE MANDATORY AT PUBLIC PLACES
Pakistan,2020-05-15,Public health measures,Awareness campaigns,"WEARING MASKS MADE MANDATORY AT PUBLIC PLACES; CAMPAIGN STARTS ACROSS MEDIA, NCOC TOLD"
Pakistan,2020-05-19,Governance and socio-economic measures,Economic measures,6 million category-4 beneficiaries under Ehsaas Emergency Cash channeled through PM-COVID19 funds
Pakistan,2020-05-19,Governance and socio-economic measures,Economic measures,"in order to maximize the utility of these funds under the ""Health"" category in wake of COVID-19 Pandemic in the country"
Pakistan,2020-05-20,Governance and socio-economic measures,Economic measures,"COVID-19, G-20 DEBT RELIEF"
Pakistan,2020-05-21,Governance and socio-economic measures,Economic measures,development projects for Korangi Fish Harbor.
Pakistan,2020-05-21,Movement restrictions,Domestic travel restrictions,Domestic travel restrictions: 31 SMART LOCKDOWNS IN PLACE ACROSS PAKISTAN: NCOC
Pakistan,2020-05-21,Movement restrictions,Surveillance and monitoring,Surveillance: 31 SMART LOCKDOWNS IN PLACE ACROSS PAKISTAN: NCOC
Pakistan,2020-05-21,Governance and socio-economic measures,Emergency administrative structures activated or established,"development of technical and operational guidelines, training of health care workers and academic programs"
Pakistan,2020-06-07,Public health measures,Strengthening the public health system,double the capacity of provincial hospitals by July end to effectively cope with the growing number of COVID-19 patients
Pakistan,2020-06-15,Lockdown,Partial lockdown,Authorities place major cities in lockdown
Pakistan,2020-06-20,Movement restrictions,International flights suspension,International flights resume on June 20
Pakistan,2020-06-25,Lockdown,Partial lockdown,Enhanced lockdown measures implemented in areas of Lahore on June 25
Pakistan,2020-07-02,Lockdown,Partial lockdown,Authorities extend lockdown in Balochistan province until July 15
Pakistan,2020-07-02,Movement restrictions,Curfews,"shopping malls, markets, warehouses, auto-repair shops, and hair salons will be allowed to remain open from 09:00 to 19:00 (local time) on Thursdays and Saturdays, all businesses will remain closed on Fridays."
Pakistan,2020-07-02,Social distancing,Schools closure,"Educational facilities throughout the Balochistan province will remain closed until the end of the lockdown, while cinemas, wedding halls, and farmhouses will remain closed indefinitely."
Pakistan,2020-08-06,Movement restrictions,Domestic travel restrictions,resumption of domestic flights at several airports August 6
Pakistan,2020-08-09,Movement restrictions,International flights suspension,Authorities to allow international flights to resume from all airports from August 9
Sri Lanka,2020-02-24,Public health measures,Isolation and quarantine policies,"self-quarantine for citizens and other foreign nationals returning from countries with local transmission (China, South Korea) as of 24 Feb, as of 29 Feb this also applies to those returning from Italy"
Sri Lanka,2020-03-12,Public health measures,Awareness campaigns,Media centre established for verified news alerts to combat fake news
Sri Lanka,2020-03-13,Social distancing,Schools closure,schools closed from until 20 April
Sri Lanka,2020-03-14,Governance and socio-economic measures,Emergency administrative structures activated or established,The Validity period of all types of visas will be extended for a period of 30 days with effect from 14th March 2020 to 12th April 2020.
Sri Lanka,2020-03-14,Movement restrictions,International flights suspension,"All incoming passenger arrivals have been suspended until March 25, 2020.  Aircraft departures, passenger connections, and transits to other flights will be permitted.  Flights arriving without passengers for the purpose of picking up departing passengers will also be permitted."
Sri Lanka,2020-03-16,Movement restrictions,Visa restrictions,"ban of entry for travellers arriving from Ital, Iran, South Korea, France, Germany, Spain, Sweden, Switzerland, Denmark, Netherlands, Austria, United Kingdom, Belgium, and Norway"
Sri Lanka,2020-03-16,Movement restrictions,Visa restrictions,visas on arrival are suspended
Sri Lanka,2020-03-16,Movement restrictions,Visa restrictions,cruise ship passengers not allowed to disembark
Sri Lanka,2020-03-16,Public health measures,Health screenings in airports and border crossings,thermal screenings
Sri Lanka,2020-03-16,Movement restrictions,Additional health/documents requirements upon arrival,passengers have to fill out a health declaration upon entry
Sri Lanka,2020-03-16,Social distancing,Closure of businesses and public services,"The Government of Sri Lanka has declared a special three-day public holiday from Tuesday. The holiday will be effective from Tuesday, March 17 through Thursday March 19, the government announced. The special three-day holiday will be effective for departments, corporations and state institutions excluding health, food supply, transport, essential services, banking, District Secretariats and Divisional Secretariats.The government has requested the private sector to also grant the three-day holiday to workers."
Sri Lanka,2020-03-16,Public health measures,Isolation and quarantine policies,People who arrived in the country from overseas from March 16 onwards are required to register themselves with the nearest police station before 12 noon on April 1 to continue with their self-quarantine process.
Sri Lanka,2020-03-17,Governance and socio-economic measures,Emergency administrative structures activated or established,"The Sri Lankan Government established the National Operation Centre for Prevention of the COVID-19 Outbreak (NOCPCO), aimed at mitigating the impact of the virus"
Sri Lanka,2020-03-17,Social distancing,Changes in prison-related policies,2961 prisoners released on bail to ease overcrowding
Sri Lanka,2020-03-18,Public health measures,Strengthening the public health system,The Navy has set up a quarantine centre at the Boossa naval premises to able to quarantine 136 people arriving from virus hit countries. Naval personnel have been trained by medical staff of the Karapitiya Teaching Hospital in quarantine procedures.
Sri Lanka,2020-03-18,Movement restrictions,Curfews,"Indefinite curfew imposed in the Puttalam, Chilaw and Negombo Police Divisions"
Sri Lanka,2020-03-19,Movement restrictions,Curfews,Sri Lanka Navy arrests 20 people for violating police curfew
Sri Lanka,2020-03-19,Social distancing,Limit public gatherings,All sports activities halted until April 20
Sri Lanka,2020-03-19,Governance and socio-economic measures,Economic measures,"China has urgently provided a concessionary loan of US$ 500 million with a term of 10 years, to help Sri Lanka financially to better respond to the current COVID�19 pandemic."
Sri Lanka,2020-03-20,Social distancing,Limit public gatherings,The government of Sri Lanka has decided to declare a period of six working days from 20th to 27th of March for employees of the public and private sectors to work from home.
Sri Lanka,2020-03-20,Movement restrictions,Curfews,Island wide curfew 6.00 pm today (March 20) until 6.00 am on Monday (March 23). imposed to stop the spread of Corona � quarantine centres increased to 22
Sri Lanka,2020-03-20,Governance and socio-economic measures,Economic measures,"he following concessions are also planned to ensure the sustainability of businesses in the travel, apparel and trade sectors affected by the new coronavirus: 1. Granting of six months grace period for repayment of loans obtained from banks and financial institutions, 2. Introduce flexible working hours especially in the IT and apparel sector and provide relief for payments for overtime and leave and 3. providing working capital requirements at an interest rate of 4%."
Sri Lanka,2020-03-20,Governance and socio-economic measures,Economic measures,"The government is focusing on optimum returns taking into consideration the current trend in oil prices in the world market. Considering the views of the experts in the relevant fields, the following proposals are planned to be implemented.

Maintaining the current market oil prices with the objective of minimizing traffic congestion and facilitating the transportation of both public and private vehicles

Imposition of an import tax on the importation of petroleum to give the government a profit margin

Establishment of a Petroleum Stabilization Fund, using the savings from lower oil prices in the international market, and raising Rs. 200 billion over a period of six months

Payment of Rs. 50 billion to the Ceylon Electricity Board (CEB) in order to pay the debts owed to the Ceylon Petroleum Corporation (CPC) and thereby settle the debts owed by the Ceylon Petroleum Corporation to the Bank of Ceylon and the People's Bank

Taking into consideration the benefit of the reduction in the price of petroleum, supply of oil by CPC to the CEB at Rs. 70 per liter, thereby reducing the cost of thermal power generation by more than Rs. 30 billion settling bank loans and interest

Considering the prevailing drought in many parts of the country and the necessity of providing essential food at reasonable prices, arrangements have been made to reduce the maximum retail price of one kilogram of dhal to Rs. 65 and the maximum retail price of 425g of canned fish to Rs. 100."
Sri Lanka,2020-03-20,Movement restrictions,Curfews,"nearly 45,000 police officers have been deployed in the country for official duties. The police officers have been deployed to take immediate action against the curfew violators.Steps will be taken to seal the immovable property of the violators and seize the movable property"
Sri Lanka,2020-03-20,Public health measures,Strengthening the public health system,"China has pledged to donate 100,000 masks including 10,000 N95 masks and 20,000 test kits to Sri Lanka in the coming days. China�s Acting Ambassador Hu Wei has made this pledge when he met Sri Lanka�s Minister of Health Pavithra Wanniarachchi on Friday (March 20)."
Sri Lanka,2020-03-20,Social distancing,Closure of businesses and public services,All postal services have been suspended till further notice. All parcels and goods received from overseas will be retained at the Central Mail Exchange for the time being and will be distributed once the situation returns to normal
Sri Lanka,2020-03-20,Social distancing,Closure of businesses and public services,March 20 to 27th Work from home decision intended to ensure smooth functioning of the public service
Sri Lanka,2020-03-21,Movement restrictions,Curfews,The Police have arrested 30 persons for violating curfew
Sri Lanka,2020-03-23,Public health measures,Strengthening the public health system,"President Gotabaya Rajapaksa has pledged USD 5m contribution to the SAARC Corona Emergency Fund. During the videoconference among leaders of the SAARC region on March 15th, Prime Minister of India Narendra Modi proposed the emergency fund with an initial offer of $10 million from India"
Sri Lanka,2020-03-23,Governance and socio-economic measures,Economic measures,President pledges USD 5m to SAARC Corona Emergency Fund
Sri Lanka,2020-03-24,Movement restrictions,Curfews,"The curfew which was lifted at 6.00 am today (24) in the Colombo, Gampaha, Kalutara, Puttalam, Mannar, Vavuniya, Mulaithivu, Killinochchi and Jaffna was re-imposed at 2.00 pm."
Sri Lanka,2020-03-24,Movement restrictions,Domestic travel restrictions,"Transportation Is completely suspended across all districts of the Island. Moreover,transporting foreign tourists to different locations is also prohibited."
Sri Lanka,2020-03-24,Movement restrictions,Curfews,"Curfew declared for Colombo, Gampaha, and Kalutara districts at present will be in effect until further notice. The curfew which was lifted at 6.00 am today (24) in the Colombo, Gampaha, Kalutara, Puttalam, Mannar, Vavuniya, Mulaithivu, Killinochchi and Jaffna was re-imposed at 2.00 pm."
Sri Lanka,2020-03-25,Movement restrictions,Curfews,"The Police Media Spokesman SP Jaliya Senaratne warned the public not to step out of their homes other than for a very urgent requirement, adding that those who do so could be arrested even without a warrant. During the past 24 hours, 420 persons who violated the curfew had been arrested together with 97 vehicles, SP Senaratne stated. In total, the police had arrested 2682 persons so far for violating curfew and 706 vehicles have been taken into police custody."
Sri Lanka,2020-03-25,Public health measures,Strengthening the public health system,The Sri Lanka Transport Board (SLTB) has so far deployed over 275 buses to provide free transport facilities for the health sector personnel initiated from the start of the imposed curfew on the request made by hospitals
Sri Lanka,2020-03-25,Social distancing,Limit public gatherings,The Sri Lankan government has implemented a mechanism to deliver essential food items to people locked down at homes under an islandwide curfew imposed to prevent public gathering
Sri Lanka,2020-03-25,Governance and socio-economic measures,Economic measures,"President Gotabaya Rajapaksa today instructed the financial institutions to provide relief to the public and businesses affected by COVID-19. The President instructed financial institutions to charge a max rate of 15% on local credit card transactions of value up to Rs.50,000, reduce the minimum payment on credit cards by 50 percent and extend the deadline until April 30, 2020 for repayment of all credit cards below the limit Rs. 50,000.The President also instructed all financial institutions to provide working capital requirement loans at an interest rate of 4 percent and wave off interest payments for at least six months. This will be applicable for SMEs, tourism, apparel, plantation, IT and logistics sectors."
Sri Lanka,2020-03-26,Movement restrictions,Curfews,Curfew imposed for the remaining districts of the Island will be tifted at 06.00 am. tomorrow (26th) and will be imposed once again with effect from 12.00 noon on the same day.
